WDPA_PID,WDPAID,NAME,ISO3,IUCN_CAT,MARINE,GIS_M_AREA
31103,31103,Riserva naturale Sacca di Bellocchio,ITA,Ia,1,0.456607308544707
31252,31252,Borgan og Frelsøy,NOR,Ia,1,27.3758438420817
31751,31751,Reserva Biológica Marinha Do Arvoredo,BRA,Ia,2,167.484250759907
32568,32568,Ilhas Selvagens,PRT,Ia,2,91.5771945301332
32586,32586,2002408 Billudden,SWE,Ia,1,16.6532620476455
32588,32588,2001190 Agön-Kråkön,SWE,Ib,1,32.976563294785
32595,32595,2000852 Likskär,SWE,Ib,1,22.4681432234246
32605,32605,2002727 Lilla Husarn,SWE,Ia,2,11.297270799421
32611,32611,2002733 Revskär,SWE,Ia,2,20.9385337725435
32614,32614,2002199 Svenska Högarna,SWE,Ib,2,608.435370192485
32615,32615,2002542 Slätön-Medholma,SWE,Ia,1,14.4287305775857
32617,32617,2000849 Stor-Räbben,SWE,Ib,2,94.2745898686621
32621,32621,2000443 Salvorev-Kopparstenarna,SWE,Ib,2,559.900797452686
32629,32629,2002028 Svenska Björn,SWE,Ib,2,39.7375820670982
35870,35870,Nansemond National Wildlife Refuge,USA,Ia,1,0.218220734170524
39501_A,39501,Port Hebert Migratory Bird Sanctuary,CAN,Ia,2,0.003320778319187
39501_B,39501,Port Hebert Migratory Bird Sanctuary,CAN,Ia,2,3.30909983201303
39645,39645,Pulau Berambang Nature Reserve,BRN,Ia,1,0.938019494138009
39816,39816,Ilhas Desertas,PRT,Ia,2,121.351661196018
39855,39855,Reserva Biológica Estadual De Guaratiba,BRA,Ia,1,5.8036820608077
40931,40931,Flat Jason,FLK,Ia,1,0.402796490927507
40934,40934,Sea Dog Island,FLK,Ia,1,0.053768003725577
40935,40935,The Twins,FLK,Ia,1,0.034195270633127
40938,40938,Beauchene Island,FLK,Ia,1,0.542821695248069
41004,41004,Abogado Agustín Córdoba Rodríguez (Isla Santanilla o del Cisne),HND,Ib,2,481.232614446172
62114,62114,Bliksvær,NOR,Ia,1,36.5678198175442
62116,62116,Moffen,SJM,Ia,1,3.75453110550195
62463,62463,Penghu Columnar Basalt,TWN,Ia,1,0.330818473919854
62907,62907,Jason West Cay,FLK,Ia,2,0.180002691052002
